time                  height  rssi
0.0                   0       -65
0.004091978073120117  1       -60
0.007645130157470703  2       -58
0.2756919860839844    3       -67
0.2796621322631836    4       -67
1.0527169704437256    5       -65
1.0590779781341553    6       -59
1.0637280941009521    7       -67
2.658761978149414     8       -62
3.462696075439453     9       -68
4.2702319622039795    10      -85
4.274024963378906     11      -70
4.277300119400024     12      -67
5.0761590003967285    13      -72
5.080591917037964     14      -81
5.8782799243927       15      -69
5.882548093795776     16      -67
5.885848045349121     17      -69
6.684863090515137     18      -75
6.691416025161743     19      -75
6.69748592376709      20      -69
8.303792953491211     21      -72
8.308332920074463     22      -71
8.311876058578491     23      -83
9.104559898376465     24      -73
9.903295040130615     25      -74
9.907900094985962     26      -73
9.911444902420044     27      -78
11.510010004043579    28      -76
11.516561031341553    29      -76
11.520676136016846    30      -74
12.313123941421509    31      -79
12.31702995300293     32      -83
12.320744037628174    33      -80
14.72417402267456     34      -86
14.728780031204224    35      -81
14.73544692993164     36      -75
16.32872700691223     37      -86
17.930274963378906    38      -81
17.937310934066772    39      -93
17.942363023757935    40      -83
18.734360933303833    41      -83
18.738605976104736    42      -79
18.74211096763611     43      -76
19.539045095443726    44      -76
19.54649305343628     45      -73
20.34427309036255     46      -73
21.958894968032837    47      -86
21.965519905090332    48      -79
21.969873905181885    49      -76
22.76958703994751     50      -73
23.579118013381958    51      -83
23.582483053207397    52      -74
24.382606983184814    53      -86
24.38862109184265     54      -81
24.393276929855347    55      -75
25.19102692604065     56      -87
25.19738507270813     57      -82
25.202436923980713    58      -74
25.991671085357666    59      -82
25.997013092041016    60      -87
26.00049090385437     61      -78
26.79949402809143     62      -88
26.803366899490356    63      -83
26.80672597885132     64      -75
28.4134681224823      65      -82
28.41725492477417     66      -92
28.420501947402954    67      -79
30.83497190475464     68      -91
30.841465950012207    69      -96
31.642651081085205    70      -83
36.47457194328308     71      -86
38.895406007766724    72      -90
38.89999604225159     73      -87
38.910775899887085    74      -71
39.702539920806885    75      -87
39.70923900604248     76      -75
41.31512808799744     77      -86
41.320181131362915    78      -81
41.32351303100586     79      -74
42.11553597450256     80      -87
42.12199401855469     81      -73
42.92479610443115     82      -89
42.93030905723572     83      -80
42.934014081954956    84      -76
45.87924098968506     85      -74
45.882364988327026    86      -75
45.88535499572754     87      -80
46.13943409919739     88      -75
46.14551496505737     89      -76
46.94955110549927     90      -73
46.95675492286682     91      -73
46.96170210838318     92      -78
47.757102966308594    93      -72
47.761662006378174    94      -73
47.764939069747925    95      -75
48.56413507461548     96      -73
48.569294929504395    97      -73
48.57355308532715     98      -74
49.3706591129303      99      -72
49.37743306159973     100     -70
49.38214993476868     101     -69
50.17885208129883     102     -75
50.18333292007446     103     -71
50.186842918395996    104     -69
50.97924995422363     105     -83
50.98219013214111     106     -81
50.98758602142334     107     -71
51.87569212913513     108     -71
51.87569212913513     109     -71
51.87569212913513     110     -71
53.08201313018799     111     -75
53.085182905197144    112     -73
53.08819794654846     113     -69
53.39440202713013     114     -73
53.399879932403564    115     -71
53.40348291397095     116     -69
54.203505992889404    117     -75
54.20798301696777     118     -71
54.21171498298645     119     -71
55.00444793701172     120     -74
55.00823402404785     121     -71
55.01185703277588     122     -70
55.80816912651062     123     -73
55.814528942108154    124     -71
55.8195059299469      125     -70
56.61103796958923     126     -74
56.61766505241394     127     -71
56.6223349571228      128     -70
57.41860795021057     129     -73
57.42286396026611     130     -71
57.42600202560425     131     -70
58.219183921813965    132     -74
58.22292900085449     133     -73
58.22611403465271     134     -73
59.02420091629028     135     -78
59.032045125961304    136     -75
59.8260760307312      137     -80
59.831358909606934    138     -99
59.834619998931885    139     -75
60.629103899002075    140     -84
60.63614511489868     141     -81
61.430726051330566    142     -79
61.43671798706055     143     -82
62.23512005805969     144     -80
62.240379095077515    145     -75
63.039658069610596    146     -77
63.04646611213684     147     -78
63.05124306678772     148     -71
63.841696977615356    149     -78
63.84784412384033     150     -77
63.85298705101013     151     -82
64.64262795448303     152     -75
64.64616203308105     153     -76
65.4514479637146      154     -89
65.45741510391235     155     -81
65.4617109298706      156     -85
66.2538321018219      157     -80
66.26163005828857     158     -78
67.05474305152893     159     -81
67.06092405319214     160     -74
67.0646800994873      161     -78
67.8647849559784      162     -78
67.8722939491272      163     -71
68.66588592529297     164     -78
68.67116498947144     165     -75
68.67463707923889     166     -74
69.46817994117737     167     -82
69.47202491760254     168     -81
70.27211093902588     169     -82
70.278813123703       170     -81
70.2835910320282      171     -73
71.87977194786072     172     -81
71.8872549533844      173     -79
71.89258003234863     174     -74
72.68078899383545     175     -81
72.6870949268341      176     -76
73.49056100845337     177     -81
73.4940071105957      178     -90
73.49693512916565     179     -80
74.29798102378845     180     -88
74.30656003952026     181     -75
75.10104012489319     182     -86
75.10525608062744     183     -76
75.90833592414856     184     -83
76.71742010116577     185     -84
79.14184808731079     186     -75
79.94881701469421     187     -90
80.75219297409058     188     -80
80.75552201271057     189     -76
81.55868291854858     190     -75
81.5646800994873      191     -71
83.17131495475769     192     -83
83.1772289276123      193     -75
83.18225193023682     194     -87
83.97251605987549     195     -81
83.97893404960632     196     -73
84.00476098060608     197     -69
84.77292704582214     198     -75
84.7779769897461      199     -75
84.78182291984558     200     -75
85.58418798446655     201     -84
87.20119309425354     202     -71
88.00836205482483     203     -73
88.01176309585571     204     -82
90.42331004142761     205     -81
90.42922592163086     206     -71
90.43463110923767     207     -68
91.22577500343323     208     -70
91.23029613494873     209     -69
92.02728199958801     210     -65
92.03318190574646     211     -69
92.03723096847534     212     -61
92.82957696914673     213     -67
