time                  rssi
0.0                   -65
0.004091978073120117  -60
0.007645130157470703  -58
0.2756919860839844    -67
0.2796621322631836    -67
1.0527169704437256    -65
1.0590779781341553    -59
1.0637280941009521    -67
2.658761978149414     -62
3.462696075439453     -68
4.2702319622039795    -85
4.274024963378906     -70
4.277300119400024     -67
5.0761590003967285    -72
5.080591917037964     -81
5.8782799243927       -69
5.882548093795776     -67
5.885848045349121     -69
6.684863090515137     -75
6.691416025161743     -75
6.69748592376709      -69
8.303792953491211     -72
8.308332920074463     -71
8.311876058578491     -83
9.104559898376465     -73
9.903295040130615     -74
9.907900094985962     -73
9.911444902420044     -78
11.510010004043579    -76
11.516561031341553    -76
11.520676136016846    -74
12.313123941421509    -79
12.31702995300293     -83
12.320744037628174    -80
14.72417402267456     -86
14.728780031204224    -81
14.73544692993164     -75
16.32872700691223     -86
17.930274963378906    -81
17.937310934066772    -93
17.942363023757935    -83
18.734360933303833    -83
18.738605976104736    -79
18.74211096763611     -76
19.539045095443726    -76
19.54649305343628     -73
20.34427309036255     -73
21.958894968032837    -86
21.965519905090332    -79
21.969873905181885    -76
22.76958703994751     -73
23.579118013381958    -83
23.582483053207397    -74
24.382606983184814    -86
24.38862109184265     -81
24.393276929855347    -75
25.19102692604065     -87
25.19738507270813     -82
25.202436923980713    -74
25.991671085357666    -82
25.997013092041016    -87
26.00049090385437     -78
26.79949402809143     -88
26.803366899490356    -83
26.80672597885132     -75
28.4134681224823      -82
28.41725492477417     -92
28.420501947402954    -79
30.83497190475464     -91
30.841465950012207    -96
31.642651081085205    -83
36.47457194328308     -86
38.895406007766724    -90
38.89999604225159     -87
38.910775899887085    -71
39.702539920806885    -87
39.70923900604248     -75
41.31512808799744     -86
41.320181131362915    -81
41.32351303100586     -74
42.11553597450256     -87
42.12199401855469     -73
42.92479610443115     -89
42.93030905723572     -80
42.934014081954956    -76
45.87924098968506     -74
45.882364988327026    -75
45.88535499572754     -80
46.13943409919739     -75
46.14551496505737     -76
46.94955110549927     -73
46.95675492286682     -73
46.96170210838318     -78
47.757102966308594    -72
47.761662006378174    -73
47.764939069747925    -75
48.56413507461548     -73
48.569294929504395    -73
48.57355308532715     -74
49.3706591129303      -72
49.37743306159973     -70
49.38214993476868     -69
50.17885208129883     -75
50.18333292007446     -71
50.186842918395996    -69
50.97924995422363     -83
50.98219013214111     -81
50.98758602142334     -71
51.87569212913513     -71
51.87569212913513     -71
51.87569212913513     -71
53.08201313018799     -75
53.085182905197144    -73
53.08819794654846     -69
53.39440202713013     -73
53.399879932403564    -71
53.40348291397095     -69
54.203505992889404    -75
54.20798301696777     -71
54.21171498298645     -71
55.00444793701172     -74
55.00823402404785     -71
55.01185703277588     -70
55.80816912651062     -73
55.814528942108154    -71
55.8195059299469      -70
56.61103796958923     -74
56.61766505241394     -71
56.6223349571228      -70
57.41860795021057     -73
57.42286396026611     -71
57.42600202560425     -70
58.219183921813965    -74
58.22292900085449     -73
58.22611403465271     -73
59.02420091629028     -78
59.032045125961304    -75
59.8260760307312      -80
59.831358909606934    -99
59.834619998931885    -75
60.629103899002075    -84
60.63614511489868     -81
61.430726051330566    -79
61.43671798706055     -82
62.23512005805969     -80
62.240379095077515    -75
63.039658069610596    -77
63.04646611213684     -78
63.05124306678772     -71
63.841696977615356    -78
63.84784412384033     -77
63.85298705101013     -82
64.64262795448303     -75
64.64616203308105     -76
65.4514479637146      -89
65.45741510391235     -81
65.4617109298706      -85
66.2538321018219      -80
66.26163005828857     -78
67.05474305152893     -81
67.06092405319214     -74
67.0646800994873      -78
67.8647849559784      -78
67.8722939491272      -71
68.66588592529297     -78
68.67116498947144     -75
68.67463707923889     -74
69.46817994117737     -82
69.47202491760254     -81
70.27211093902588     -82
70.278813123703       -81
70.2835910320282      -73
71.87977194786072     -81
71.8872549533844      -79
71.89258003234863     -74
72.68078899383545     -81
72.6870949268341      -76
73.49056100845337     -81
73.4940071105957      -90
73.49693512916565     -80
74.29798102378845     -88
74.30656003952026     -75
75.10104012489319     -86
75.10525608062744     -76
75.90833592414856     -83
76.71742010116577     -84
79.14184808731079     -75
79.94881701469421     -90
80.75219297409058     -80
80.75552201271057     -76
81.55868291854858     -75
81.5646800994873      -71
83.17131495475769     -83
83.1772289276123      -75
83.18225193023682     -87
83.97251605987549     -81
83.97893404960632     -73
84.00476098060608     -69
84.77292704582214     -75
84.7779769897461      -75
84.78182291984558     -75
85.58418798446655     -84
87.20119309425354     -71
88.00836205482483     -73
88.01176309585571     -82
90.42331004142761     -81
90.42922592163086     -71
90.43463110923767     -68
91.22577500343323     -70
91.23029613494873     -69
92.02728199958801     -65
92.03318190574646     -69
92.03723096847534     -61
92.82957696914673     -67
92.83319807052612     -64
93.63073492050171     -80
93.63462901115417     -70
93.63781905174255     -64
94.43643498420715     -67
94.44003891944885     -67
94.44333410263062     -64
96.04344391822815     -64
96.04746103286743     -67
96.0514190196991      -66
