#bradjc, brghena, ppannuto, samkuo, tzachari, wwhuang

07/08/2014 17:15:  1404854100000,0,1,0,1,0,1
07/08/2014 17:20:  1404854400000,0,1,0,1,0,1
07/08/2014 17:25:  1404854700000,0,1,0,1,0,1
07/08/2014 17:30:  1404855000000,0,1,0,1,0,0
07/08/2014 17:35:  1404855300000,0,1,0,1,0,0
07/08/2014 17:40:  1404855600000,0,1,0,1,0,0
07/08/2014 17:45:  1404855900000,0,1,0,1,0,0
07/08/2014 17:50:  1404856200000,0,1,0,0,0,0
07/08/2014 17:55:  1404856500000,0,1,0,1,0,0
07/08/2014 18:00:  1404856800000,0,1,0,1,0,0
07/08/2014 18:05:  1404857100000,0,1,0,1,1,0
07/08/2014 18:10:  1404857400000,0,1,0,1,1,0
07/08/2014 18:15:  1404857700000,0,1,0,1,1,0
07/08/2014 18:20:  1404858000000,0,1,0,1,1,0
07/08/2014 18:25:  1404858300000,0,1,0,1,1,0
07/08/2014 18:30:  1404858600000,0,1,0,1,1,0
07/08/2014 18:35:  1404858900000,0,1,0,0,1,0
07/08/2014 18:40:  1404859200000,0,1,0,0,1,0
07/08/2014 18:45:  1404859500000,0,1,0,0,1,0
07/08/2014 18:50:  1404859800000,0,1,0,0,1,0
07/08/2014 18:55:  1404860100000,0,1,0,0,1,0
07/08/2014 19:00:  1404860400000,0,1,0,0,1,0
07/08/2014 19:05:  1404860700000,0,1,0,0,1,0
07/08/2014 19:10:  1404861000000,0,0,0,0,1,0
07/08/2014 19:15:  1404861300000,0,0,0,0,1,0
07/08/2014 19:20:  1404861600000,0,0,0,0,1,0
07/08/2014 19:25:  1404861900000,0,0,0,0,1,0
07/08/2014 19:30:  1404862200000,0,0,0,0,1,0
07/08/2014 19:35:  1404862500000,0,1,0,0,1,0
07/08/2014 19:40:  1404862800000,0,1,0,0,1,0
07/08/2014 19:45:  1404863100000,0,1,0,0,1,0
07/08/2014 19:50:  1404863400000,0,1,0,0,0,0
07/08/2014 19:55:  1404863700000,0,1,0,0,0,0
07/08/2014 20:00:  1404864000000,0,1,0,0,0,0
07/08/2014 20:05:  1404864300000,0,1,0,0,0,0
07/08/2014 20:10:  1404864600000,0,1,0,0,0,0
07/08/2014 20:15:  1404864900000,1,1,1,0,0,0
07/08/2014 20:20:  1404865200000,0,1,0,0,0,0
07/08/2014 20:25:  1404865500000,1,1,1,0,0,0
07/08/2014 20:30:  1404865800000,0,1,0,0,0,0
07/08/2014 20:35:  1404866100000,0,1,0,0,0,0
07/08/2014 20:40:  1404866400000,0,1,0,0,0,0
07/08/2014 20:45:  1404866700000,1,1,1,0,0,0
07/08/2014 20:50:  1404867000000,1,1,0,0,0,0
07/08/2014 20:55:  1404867300000,1,1,0,0,0,0
07/08/2014 21:00:  1404867600000,1,1,0,0,0,0
07/08/2014 21:05:  1404867900000,1,1,0,0,0,0
07/08/2014 21:10:  1404868200000,0,1,0,0,0,0
07/08/2014 21:15:  1404868500000,0,1,0,0,0,0
07/08/2014 21:20:  1404868800000,0,0,0,0,0,0
07/08/2014 21:25:  1404869100000,0,0,0,0,0,0
07/08/2014 21:30:  1404869400000,0,0,0,0,0,0
07/08/2104 21:35:  1404869700000,0,0,0,0,0,0
